ID;Category;Source;URLs;Title;PublicationDate;SoMePlatform;RetroSampleDate;RetroSampleCountry;JointMusicking;OrigCovidSong;OrigCovidLyrics;Movement;HealthInfo;Conflict;Country;Setting;Genre;Emotions;Features;FirstCoder;SecondCoder;Comments
140;video;GoogleSheet;https://www.youtube.com/watch?v=bolqbyi1VMQ;Fabulous Negrito: Chocolate Samurai (Corona Quarantine Video);28-06-2020;YouTube;NA;NA;1;1;1;1;0;0;USA;home, outdoors;blues, soul, rock, soul/R&B;togetherness, happiness, humour;compilation, music video;MT;JV, JB;
143;video;GoogleSheet;https://www.youtube.com/watch?v=cLGsMrv0-WE;Popular Turkish singer wishes coronavirus to hit Greece;28-03-2020;YouTube;NA;NA;1;NA;1;0;0;1;Turkey;outdoors;folk;anger, disdain, hatred;news report;MT;DS;
144;video;GoogleSheet;https://twitter.com/BBCFrediani/status/1244895313401348097, https://www.youtube.com/watch?v=wdcS0Nbo7Ng;#selfisolation adaptation of One Day More from #LesMis;31-03-2020;YouTube;NA;NA;1;0;1;0;0;0;UK;home;soundtrack/theme song;humour, togetherness;NA;MT;DS;
148;video;GoogleSheet;https://www.facebook.com/watch/?v=290630215253184;Virtual session with Danish balkan beat band Djonko;31-03-2020;Facebook;NA;NA;1;0;0;0;0;0;Denmark;home;world, balkan;happiness, cool;splitscreen, virtual ensemble;MT;NCH;
149;video;GoogleSheet;https://twitter.com/ocnesp/status/1245308906626322432?s=20;Spanish National Choir singing video;01-04-2020;Twitter;NA;NA;1;0;0;0;0;0;Spain;home;classical;tenderness, longing, grief/sadness;choir, split sceen, virtual choir, splitscreen;MT;NCH;
150;video;GoogleSheet;https://twitter.com/elsalwilliams/status/1244933887660363777;Elsa williams - socially distanced dancing;31-03-2020;Twitter;NA;NA;1;0;0;1;0;0;USA;outdoors, suburban neighbourhood;oldies, pop;togetherness, happiness, being moved;NA;MT;JW;
151;video;GoogleSheet;https://www.facebook.com/KurtTocciOfficial/videos/1035593096841026/;Disney Characters In Quarantine;31-03-2020;Facebook;NA;NA;0;0;1;1;1;0;USA;home, balcony;soundtrack/theme song;humour;NA;MT;JB;
152;video;GoogleSheet;https://www.youtube.com/watch?v=La4YMYtJM2o;Samba de Quarentena (Quarantine Samba);22-03-2020;YouTube;NA;NA;1;1;1;0;0;0;Brazil;home, outdoors;jazz, world, bossa nova, folk;togetherness, tenderness;splitscreen, multitracked;MT;JB;
153;video;GoogleSheet;https://www.facebook.com/royaloperahouse/videos/686879362048909/?__tn__=kCH-R;Bach Double Violin Concerto in D Minor – the Orchestra of the Royal Opera House;31-03-2020;Facebook;NA;NA;1;0;0;0;0;0;UK;home, outdoors;world, classical;grief/sadness, longing, being moved, happiness, hope;splitscreen;MT;JV;
156;video;GoogleSheet;https://www.youtube.com/watch?v=JKYiTg6_J-M;"Jimmy and The Roots Cover ""Stuck in the Middle with You"" from their Homes";27-03-2020;YouTube;NA;NA;1;0;0;1;0;0;USA;home;country, rock;togetherness, happiness, humour;splitscreen;MT;JV;
