ID;Category;Source;URLs;Title;cleanedTitle;MediaPlatform;MediaFormat;EmbeddedExternalVideo;PublicationDate;Country;Language;Setting;MusicMakerProfessionalism;Movement;HealthInfo;Conflict;Emotions;Features;FirstCoder;SecondCoder
559;media;GoogleSheet;https://www.theguardian.com/music/2020/may/01/belle-and-sebastians-lockdown-listening-i-have-a-dance-off-with-my-kids-every-night;Belle and Sebastian's lockdown listening: 'I have a dance-off with my kids every night';Belle and Sebastians lockdown listening I have a danceoff with my kids every night;The Guardian;writtenDigital;1;01-05-2020;UK;English;home;prof;1;0;0;togetherness, happiness ;NA;MT;JV
560;media;GoogleSheet;https://www.wbur.org/hereandnow/2020/05/01/coronavirus-genome-music;12-year-old ttransformes Coronavirus Genome into Music;yearold ttransformes Coronavirus Genome into Music;Wbur;audio;0;01-05-2020;USA;English;home;amateur;0;0;0;humour, happiness;science, sonification;MT;NCH
563;media;GoogleSheet;https://www.wypr.org/post/zoom-baltimore-clubbing-goes;On Zoom, Baltimore Clubbing Goes On;On Zoom Baltimore Clubbing Goes On;WYPR;writtenDigital;0;06-04-2020;USA;English;online, home;prof;1;0;0;togetherness, happiness;clubbing;MT;JV
564;media;GoogleSheet;https://www.stereogum.com/2083140/black-midio-radio-one-act-play/news/;black midi Perform Radio Play;black midi Perform Radio Play;Stereogum;writtenDigital;1;02-05-2020;USA;English;home, online;prof;0;0;0;humour;book reading, radio;MT;JV
565;media;GoogleSheet;http://www.brooklynvegan.com/mbrs-of-blur-oasis-ride-the-charlatans-the-fall-more-hosting-online-listening-parties-of-classic-albums/;Online classic album listening parties hosted by Tim Burgess;Online classic album listening parties hosted by Tim Burgess;Brooklyn Vegan;writtenDigital;0;23-03-2020;USA;English;home;prof;0;0;0;togetherness;listening party, Spotify;MT;JV
566;media;GoogleSheet;https://theconversation.com/lockdown-singing-the-science-of-why-music-helps-us-connect-in-isolation-137312;Conversation article by Greenberg and Gordon on lockdown singing;Conversation article by Greenberg and Gordon on lockdown singing;The Conversation;writtenDigital;1;01-05-2020;Australia;English;home, online, balcony;amateur;0;1;0;togetherness;science, participatory music making;MT;JB
567;media;GoogleSheet;https://www.rollingstone.com/pro/features/the-music-industry-wants-happy-songs-now-990033/;Impact of COVID-19 on songwriting/music sync;Impact of COVID on songwritingmusic sync;Rolling Stone;writtenDigital;1;29-04-2020;USA;English;online, home;prof;0;0;0;happiness;NA;MT;JV
568;media;GoogleSheet;https://news.avclub.com/just-in-time-for-class-warfare-dischord-record-s-entir-1843262268;"Dischord punk label makes entire catalogue free on Bandcamp (""just in time for class warfare"")";Dischord punk label makes entire catalogue free on Bandcamp just in time for class warfare;AV Club;writtenDigital;0;05-05-2020;USA;English;home, online;prof;0;0;0;humour, grief/sadness, anger, happiness, angst;music platform;MT;DS
569;media;GoogleSheet;https://www.stereogum.com/2083425/arkansas-coronavirus-concert-next-week-fan-pods-tickets/news/;Arkansas Hosting Rock Concert Next Week, “Fan Pods” On Sale Now;Arkansas Hosting Rock Concert Next Week Fan Pods On Sale Now;Stereogum;writtenDigital;0;05-05-2020;USA;English;concert, venue;prof;0;1;0;togetherness, happiness;live concert;MT;JV
570;media;GoogleSheet;https://www.stereogum.com/2083343/bad-moves-end-of-time/video/;Bad Moves – “End Of Time” (socially-distanced music video adaptation);Bad Moves  End Of Time sociallydistanced music video adaptation;Stereogum;writtenDigital, video;0;05-05-2020;USA;English;home, online;prof;0;0;0;humour, happiness;album release;MT;NCH
571;media;GoogleSheet;https://mixmag.net/read/worlds-first-drive-in-rave-germany-news;"Drive-In ""Autodisco"" in Club Index in Schüttorf";DriveIn Autodisco in Club Index in Schttorf;Mixmag;writtenDigital, video;0;04-05-2020;UK;English;outside, concert;prof;1;0;0;happiness;drive-in, rave;MT;NCH
