ID;Category;Source;URLs;Title;PublicationDate;SoMePlatform;RetroSampleDate;RetroSampleCountry;JointMusicking;OrigCovidSong;OrigCovidLyrics;Movement;HealthInfo;Conflict;Country;LyricsLanguage;Setting;Genre;Emotions;Features;FirstCoder;SecondCoder
1037;video;Retrospective;https://www.youtube.com/watch?v=q1ed_M2JGO8;La chanson du coranavirus;07-03-2020;YouTube;07-03-2020;Denmark;0;1;1;0;1;1;France;french;venue;alternative, pop, jazz, rock;humour;animation, lyric video;JB;JW
1038;video;Retrospective;https://www.youtube.com/watch?v=jfoVJnfuwOI;Coronavirus: Musique dramatique;07-03-2020;YouTube;07-03-2020;UK;0;1;0;0;0;0;France;NA;animation;ambient, dance/electronica;tension, fear, dread, anxiety;instrumental, still;JB;JW
1039;video;Retrospective;https://www.youtube.com/watch?v=YiNGNvP5Cnk;Hand-washing dance to prevent coronavirus;07-03-2020;YouTube;07-03-2020;USA;0;1;1;1;1;0;South Korea;vietnamese;outside, home;dance/electronica, pop;humour, happiness, togetherness;tiktok, participatory music making, instructional, dance, korean;JB;JW
1040;video;Retrospective;https://www.youtube.com/watch?v=rjaOLTr0kxA;Coronavirus safety song | wash your hands;08-03-2020;YouTube;08-03-2020;USA;0;1;1;1;1;0;India;english;home;musical, pop;humour;lyric video;MT;JB
1041;video;Retrospective;https://www.youtube.com/watch?v=EwuCAnc7G8Q;Coronavirus Song | Coronavirus Shool;08-03-2020;YouTube;08-03-2020;USA;1;1;1;1;1;0;Singapore;english;home, office, workplace;pop, children's music;humour, happiness;educational, for kids;MT;JB
1042;video;Retrospective;https://www.youtube.com/watch?v=6MPcv9gtSU4;The Kiffness - Ai Corona;08-03-2020;YouTube;08-03-2020;UK;0;1;1;1;1;0;South Africa;english;outside;rap/hip-hop;humour, happiness;dance;MT;JB
1043;video;Retrospective;https://www.youtube.com/watch?v=F7gizDwojgM;Coronavirus: The Musical - Woody Fu;08-03-2020;YouTube;08-03-2020;Denmark;0;1;1;1;0;0;USA;english;venue, theatre;musical, pop;humour, happiness;live performance;MT;JB
1044;video;Retrospective;https://www.youtube.com/watch?v=npseW_PBl-0;Tiktok Viral Videos - Washing Hand Dance;08-03-2020;YouTube;08-03-2020;USA;1;1;1;1;1;0;South Korea;vietnamese;home, outside;pop, dance/electronica;happiness;dance, compilation;MT;JB
161;video;GoogleSheet;https://www.youtube.com/watch?v=oiAOS92bjeQ;"Wash Your Hands - Taylor Swift ""The Man"" Parody Acapella";09-03-2020;YouTube;NA;NA;0;0;1;0;1;0;USA;english;supermarket, home;pop;humour, happiness;splitscreen, music video;MT;DS
200;video;GoogleSheet;https://www.youtube.com/watch?v=juugAWnBRKY;My Name is Corona;09-03-2020;YouTube;NA;NA;1;1;1;1;0;0;USA, India;english;animation;dance/electronica, world, reggae, rap/hip-hop;humour;music video, chromakeying;MT;JW
